cliente_id,edad,ingreso_mensual,gasto_mensual,frecuencia_compras,antiguedad_meses,num_productos
CLI-042,37,3770000.0,1495000.0,5,24,4
CLI-043,41,3592000.0,1372000.0,7,18,3
CLI-044,43,3744000.0,1168000.0,7,26,3
CLI-045,30,3689000.0,1196000.0,8,23,4
CLI-046,35,3251000.0,999000.0,8,22,2
CLI-047,35,3332000.0,1196000.0,5,29,4
CLI-048,34,3724000.0,1142000.0,4,30,3
CLI-049,48,3683000.0,1265000.0,10,20,4
CLI-050,40,3494000.0,1035000.0,8,19,3
CLI-051,30,3535000.0,1304000.0,6,22,2
CLI-052,43,3883000.0,1507000.0,10,6,2
CLI-053,50,3323000.0,1178000.0,7,12,3
CLI-054,44,3664000.0,1280000.0,9,35,3
CLI-055,28,3439000.0,1338000.0,7,37,3
CLI-056,35,3435000.0,1120000.0,11,22,4
CLI-057,45,3830000.0,1245000.0,11,29,2
CLI-058,33,3748000.0,1203000.0,7,26,3
CLI-059,40,3744000.0,1220000.0,9,49,2
CLI-060,42,3892000.0,1045000.0,8,33,3
CLI-061,32,3506000.0,1205000.0,10,23,3
CLI-062,37,3705000.0,1300000.0,5,16,3
CLI-063,18,3407000.0,1490000.0,8,11,3
CLI-064,31,3597000.0,1392000.0,9,26,4
CLI-065,36,3461000.0,1631000.0,3,18,3
CLI-066,30,3529000.0,1047000.0,5,13,4
CLI-067,47,3679000.0,1374000.0,3,19,2
CLI-068,29,3255000.0,1237000.0,6,15,4
CLI-069,35,4128000.0,1638000.0,8,37,4
CLI-070,38,3198000.0,1038000.0,10,31,1
CLI-071,46,3136000.0,1032000.0,7,24,3
CLI-072,29,3847000.0,1080000.0,10,36,4
CLI-073,44,3737000.0,775000.0,4,25,3
CLI-074,38,3687000.0,1095000.0,4,17,3
CLI-075,32,3689000.0,1048000.0,7,36,3
CLI-076,40,3496000.0,1230000.0,8,28,3
CLI-077,39,3231000.0,1268000.0,7,16,3
CLI-078,34,3523000.0,1575000.0,3,22,4
CLI-079,38,3297000.0,1390000.0,7,17,3
CLI-080,35,3793000.0,1085000.0,4,13,3
CLI-081,38,3456000.0,1020000.0,8,31,3
CLI-082,41,3252000.0,1298000.0,8,39,3
CLI-083,47,3404000.0,936000.0,5,13,3
CLI-084,30,3624000.0,1566000.0,6,29,3
CLI-085,50,3331000.0,1436000.0,5,19,3
CLI-086,26,3253000.0,1106000.0,7,20,3
CLI-087,37,3573000.0,857000.0,9,19,5
CLI-088,41,3573000.0,1471000.0,5,17,4
CLI-089,39,3348000.0,1177000.0,8,24,3
CLI-090,34,3359000.0,1448000.0,6,17,4
CLI-091,36,3570000.0,881000.0,5,26,3
CLI-092,35,3066000.0,1080000.0,7,24,2
CLI-093,34,3078000.0,1201000.0,5,22,2
CLI-094,43,3284000.0,1209000.0,6,17,2
CLI-095,40,3436000.0,1110000.0,5,19,3
CLI-096,52,6591000.0,3089000.0,13,53,6
CLI-097,63,6208000.0,2348000.0,13,50,6
CLI-098,54,6899000.0,2590000.0,15,51,8
CLI-099,50,7045000.0,2996000.0,17,33,5
CLI-100,57,7875000.0,2311000.0,15,35,5
CLI-101,36,5646000.0,3085000.0,6,61,5
CLI-102,53,8224000.0,2704000.0,8,48,5
CLI-103,57,6874000.0,2650000.0,10,56,5
CLI-104,41,6658000.0,3084000.0,12,48,7
CLI-105,60,6190000.0,2978000.0,14,48,7
CLI-106,54,5676000.0,2656000.0,10,59,5
CLI-107,49,7659000.0,3264000.0,13,42,5
CLI-108,56,7059000.0,2368000.0,10,49,6
CLI-109,67,5968000.0,3046000.0,10,42,5
CLI-110,53,5964000.0,3037000.0,8,43,6
CLI-111,53,6731000.0,2676000.0,9,44,6
CLI-112,48,8335000.0,2930000.0,8,51,4
CLI-113,46,6792000.0,2300000.0,9,42,7
CLI-114,57,5797000.0,3170000.0,15,63,7
CLI-115,46,6803000.0,2726000.0,9,37,5
CLI-116,52,6782000.0,2591000.0,20,46,5
CLI-117,48,4842000.0,3220000.0,13,43,6
CLI-118,55,6957000.0,2518000.0,13,65,6
CLI-119,54,6815000.0,2237000.0,9,50,6
CLI-120,59,7557000.0,2177000.0,14,60,8
CLI-121,48,8479000.0,3042000.0,10,30,5
CLI-122,50,7901000.0,2288000.0,12,51,5
CLI-123,45,6785000.0,3502000.0,20,59,4
CLI-124,48,6115000.0,1967000.0,12,49,5
CLI-125,54,9059000.0,3479000.0,15,61,5
CLI-126,57,7047000.0,2884000.0,10,42,7
CLI-127,45,7011000.0,2761000.0,12,65,5
CLI-128,58,6981000.0,2582000.0,17,76,6
CLI-129,61,7158000.0,2960000.0,10,44,5
CLI-130,54,6885000.0,2785000.0,17,43,7
CLI-131,65,6541000.0,3241000.0,14,65,8
CLI-132,46,6563000.0,2846000.0,10,67,5
CLI-133,43,6974000.0,2860000.0,14,42,5
CLI-134,39,6565000.0,2655000.0,15,43,7
CLI-135,62,6430000.0,2777000.0,14,45,6
CLI-136,56,7085000.0,2923000.0,7,32,7
CLI-137,51,6796000.0,2116000.0,10,37,6
CLI-138,53,8203000.0,2261000.0,11,36,5
CLI-139,44,4879000.0,3097000.0,12,39,6
CLI-140,69,7873000.0,2868000.0,14,48,7
CLI-141,52,7997000.0,2726000.0,13,51,6
CLI-142,52,5341000.0,2807000.0,8,67,6
CLI-143,57,6726000.0,2939000.0,13,36,7
CLI-144,55,6703000.0,2584000.0,14,60,7
CLI-145,53,5874000.0,2489000.0,14,45,7
CLI-146,46,6378000.0,2878000.0,15,47,6
CLI-147,55,6112000.0,2409000.0,15,56,5
CLI-148,65,8402000.0,2963000.0,13,35,6
CLI-149,61,7749000.0,2119000.0,12,53,7
CLI-150,63,8017000.0,3212000.0,7,50,5
